,Income statement(Unit: KRW),20100401-20110331,20090401-20100331,20080401-20090331,20070401-20080331,20060401-20070331,20050401-20060331,20040401-20050331,20030401-20040331,20020401-20030331,20010401-20020331,20000401-20010331,19990401-20000331
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
92,Ⅵ.법인세비용차감전순이익,2608152000000.0,1171739000000.0,224781000000.0,972761000000.0,689696000000.0,761867000000.0,728789000000.0,534740000000.0,1240526000000.0,898212000000.0,363050570000.0,463214456000.0
93,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
94,Ⅶ.법인세비용(주석24),686822000000.0,266018000000.0,110791000000.0,253758000000.0,171340000000.0,134903000000.0,148603000000.0,200623000000.0,372965000000.0,266616000000.0,116251743000.0,130850524000.0
95,,,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
96,Ⅷ.당기순이익,1921330000000.0,905721000000.0,113990000000.0,719003000000.0,518356000000.0,626964000000.0,580186000000.0,334117000000.0,867561000000.0,631596000000.0,246798827000.0,332691632000.0
97,1.지배회사지분순이익,1924853000000.0,906095000000.0,113658000000.0,715945000000.0,514580000000.0,624360000000.0,575614000000.0,327801000000.0,861110000000.0,630789000000.0,246588422000.0,396004765000.0
98,2.소수주주지분순이익,-3523000000.0,-374000000.0,332000000.0,3058000000.0,3776000000.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
99,Ⅸ.지배회사지분순이익의주당이익(주석28),,,,,,,2963166000000.0,,,2648805000000.0,2714541911000.0,
100,1.기본주당순이익(단위:원),9624.0,4530.0,568.0,35797.0,25729.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
101,2.희석주당순이익(단위:원),9624.0,4530.0,568.0,35797.0,25729.0,,2963166000000.0,,,2648805000000.0,2714541911000.0,
