,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010901-20011231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
100,3.기부금(Contribution),106643000000.0,132981000000.0,178545000000.0,44396000000.0,5342000000.0,13377000000.0,2177000000.0,1206000000.0,412000000.0,1061229220.0
101,4.지분법적용투자주식처분손실(LossonDispositionofEquityMethodAccountedInvestments),,6242000000.0,,2489998000000.0,1842513000000.0,845000000.0,,166000000.0,,
102,5.지분법적용투자주식손상차손(ImpairmentLossonEquityMethodAccountedInvestments),79933000000.0,,,2489998000000.0,1842513000000.0,,,,,
103,6.기타영업외비용(Other),69361000000.0,100202000000.0,81003000000.0,55180000000.0,131640000000.0,227310000000.0,214315000000.0,70193000000.0,30579000000.0,9179227103.0
104,Ⅵ.법인세비용차감전계속사업이익(ContinuingOperationsIncomeBeforeIncomeTax),3088751000000.0,1979475000000.0,,2489998000000.0,1842513000000.0,,,,,
105,"Ⅶ.계속사업이익법인세비용(주석2,23)(IncomeTaxExpenses)",717608000000.0,666682000000.0,,2489998000000.0,1842513000000.0,,,,,
106,Ⅷ.계속사업이익(ContinuingOperationsIncome),2371143000000.0,1312793000000.0,2030171000000.0,,1842513000000.0,,,,,
107,"Ⅸ.중단사업손익(DiscontinuedOperationsIncome)(법인세효과:전기2,485백만원)",,15460000000.0,-4509000000.0,,1842513000000.0,,,,,
108,Ⅹ.연결당기순이익(ConsolidatedNetIncomeforYear),2371143000000.0,1328253000000.0,2025662000000.0,2489998000000.0,1842513000000.0,1560760000000.0,1050295000000.0,362988000000.0,602163000000.0,220762998627.0
109,1.지배회사지분순이익(NetIncomeinMajorityInterest),2383936000000.0,1305311000000.0,2018627000000.0,2396377000000.0,1832718000000.0,,,,,
110,2.소수주주지분순이익(NetIncomeinNon-ControllingInterest),-12793000000.0,22942000000.0,7035000000.0,93621000000.0,9795000000.0,,,,,
111,XI.주당이익(주석24)(EarningperShare),,,,2489998000000.0,1842513000000.0,,,,,
112,1.기본주당계속사업순이익(BasicEarningperSharefromContinuingOperations),4531.0,2273.0,4242.0,,1842513000000.0,,,,,
113,2.기본주당순이익(BasicEarningperShare),4531.0,2303.0,4236.0,5562.0,4776.0,,,,,
114,3.희석주당계속사업순이익(DilutedEarningperSharefromContinuingOperations),4451.0,2261.0,4157.0,,1842513000000.0,,,,,
115,4.희석주당순이익(DilutedEarningperShare),4451.0,2290.0,4152.0,5424.0,4776.0,,,,,
