,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20150331,20141231,20140930,20140630,20140331,20131231,20121231,20120630,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
29,entity00144155_udf_BS_2011527143740352_NoncurrentLiabilities,사채및장기차입금,Long-term Bond payable and borrowings,재무상태표 [abstract],부채  [abstract],비유동부채,사채및장기차입금,21614903000000.0,21065209000000.0,20430514000000.0,20046385000000.0,19699837000000.0,20198728000000.0,17936038000000.0,18622208000000.0,16003816000000.0,15055987000000.0,14634387000000.0,15282565000000.0,16812504000000.0,16976372000000.0,,,,,,,,,,,,,
30,entity00144155_udf_BS_2011529131331149_NoncurrentLiabilities,장기미지급금,Long-term trade & other Payables,재무상태표 [abstract],부채  [abstract],비유동부채,장기미지급금,2177068000000.0,3153960000000.0,3047021000000.0,2975518000000.0,3053313000000.0,3364474000000.0,3288809000000.0,3499084000000.0,3497961000000.0,2756319000000.0,2476888000000.0,2257133000000.0,2460583000000.0,2128370000000.0,2824363241000.0,2273414406000.0,2119693790000.0,1993269947000.0,1713819449000.0,1803507343000.0,3465339768000.0,1901286049000.0,1428603842000.0,2065261290000.0,93672188.0,163894222000.0,87968482000.0
31,dart_PostemploymentBenefitObligations,확정급여채무,Post-employment benefit obligations,재무상태표 [abstract],부채  [abstract],비유동부채,확정급여채무,433225000000.0,345990000000.0,511245000000.0,434104000000.0,375177000000.0,286224000000.0,303014000000.0,378911000000.0,275921000000.0,419608000000.0,385325000000.0,333559000000.0,239566000000.0,204549000000.0,,,,,,,,,,,,,
32,ifrs_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채  [abstract],비유동부채,충당부채,119689000000.0,134132000000.0,137217000000.0,147881000000.0,134993000000.0,115437000000.0,177484000000.0,144520000000.0,166121000000.0,173208000000.0,171194000000.0,166351000000.0,126495000000.0,149546000000.0,,,,,,,,,,,,,
33,ifrs_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채  [abstract],비유동부채,이연법인세부채,1571617000000.0,1541476000000.0,1534753000000.0,1487610000000.0,1440381000000.0,1342728000000.0,1421830000000.0,1464385000000.0,1524815000000.0,1361899000000.0,1304237000000.0,1247578000000.0,1203665000000.0,1390216000000.0,627027014000.0,733544721000.0,1395329374000.0,775653131000.0,607951315000.0,339333171000.0,,,,,,,
34,entity00144155_udf_BS_2011527144714537_NoncurrentLiabilities,기타의비유동부채,Other non-current liabilities,재무상태표 [abstract],부채  [abstract],비유동부채,기타의비유동부채,749700000000.0,777819000000.0,810430000000.0,799595000000.0,630470000000.0,681697000000.0,771346000000.0,1489184000000.0,1316104000000.0,944498000000.0,981366000000.0,930958000000.0,1500516000000.0,713817000000.0,,,,,,,,,,,,,
35,ifrs_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채  [abstract],부채총계,,54541244000000.0,57293059000000.0,57936475000000.0,56708595000000.0,57106527000000.0,55936846000000.0,55229558000000.0,60789434000000.0,58391432000000.0,55480492000000.0,52602477000000.0,54841315000000.0,53512769000000.0,51771356000000.0,47586518104000.0,44143181888000.0,33295243019000.0,28852798149000.0,25948948791000.0,28724434942000.0,30506400978000.0,34413203564000.0,29832626213000.0,27629415970000.0,11757857179.0,12856441590000.0,12564189295000.0
36,ifrs_EquityAttributableToOwnersOfParent,지배기업소유주에 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업소유주에 귀속되는 자본,,10397096000000.0,10114611000000.0,11549194000000.0,11346562000000.0,11517298000000.0,11613435000000.0,11351641000000.0,11045810000000.0,10750582000000.0,10640415000000.0,9661838000000.0,9417440000000.0,8995378000000.0,8492227000000.0,,,,,,,,,,,,,
37,entity00144155_udf_BS_2011527143142535_EquityAttributableToOwnersOfParent,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업소유주에 귀속되는 자본,자본금,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238609000000.0,238608660000.0,238608660000.0,238608660000.0,653451840000.0,653417340000.0,650643340000.0,644905840000.0,644755840000.0,644755840000.0,644755840000.0,589481050.0,-374135850000.0,-374135850000.0
38,entity00144155_udf_BS_2011527143157332_EquityAttributableToOwnersOfParent,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업소유주에 귀속되는 자본,주식발행초과금,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,2793927000000.0,,,,,,,,,,,,,
39,entity00144155_udf_BS_2011527143212654_EquityAttributableToOwnersOfParent,자기주식,Treasury shares,재무상태표 [abstract],자본 [abstract],지배기업소유주에 귀속되는 자본,자기주식,-1272692000000.0,-1272692000000.0,-951394000000.0,-866102000000.0,-618062000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417892000000.0,-417891555000.0,-417891555000.0,-417891555000.0,-1202202903000.0,-16991366000.0,-16991366000.0,-16991366000.0,-237901823000.0,-444956866000.0,-598971440000.0,-88433843.0,-88463714000.0,-19332050000.0
40,entity00144155_udf_BS_2011527143225753_EquityAttributableToOwnersOfParent,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업소유주에 귀속되는 자본,이익잉여금,5738399000000.0,5412179000000.0,6584472000000.0,6395505000000.0,6206898000000.0,6095139000000.0,5906100000000.0,5398775000000.0,4951133000000.0,4967256000000.0,4246186000000.0,3895851000000.0,3384281000000.0,2538381000000.0,,,,,,,,,,,,,
41,entity00144155_udf_BS_2011527143244500_EquityAttributableToOwnersOfParent,기타자본항목,Other equity interest,재무상태표 [abstract],자본 [abstract],지배기업소유주에 귀속되는 자본,기타자본항목,2898853000000.0,2942588000000.0,2883580000000.0,2784623000000.0,2895926000000.0,2903652000000.0,2830897000000.0,3032391000000.0,3184805000000.0,3058515000000.0,2801008000000.0,2906945000000.0,2996453000000.0,3339202000000.0,,,,,,,,,,,,,
42,ifrs_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,25567045000000.0,25590060000000.0,25218872000000.0,24739875000000.0,24602758000000.0,25007673000000.0,24063948000000.0,23138014000000.0,23271899000000.0,23316537000000.0,22067094000000.0,21545259000000.0,21155944000000.0,20325218000000.0,,,,,,,,,,,,,
43,ifrs_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,35964141000000.0,35704671000000.0,36768066000000.0,36086437000000.0,36120056000000.0,36621108000000.0,35415589000000.0,34183824000000.0,34022481000000.0,33956952000000.0,31728932000000.0,30962699000000.0,30151322000000.0,28817445000000.0,26143782613000.0,24761021287000.0,23950486429000.0,18110423239000.0,16824593256000.0,14017712009000.0,10970202638000.0,6955284144000.0,11235379717000.0,10775898827000.0,5709622938.0,4775086206000.0,2267810676000.0
44,ifrs_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,90505385000000.0,92997730000000.0,94704541000000.0,92795032000000.0,93226583000000.0,92557954000000.0,90645147000000.0,94973258000000.0,92413913000000.0,89437444000000.0,84331409000000.0,85804014000000.0,83664091000000.0,80588801000000.0,,,,,,,,,,,,,
