,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
71,1.유형자산처분손실,184000000.0,54000000.0,326000000.0,752000000.0,108000000.0,405000000.0,38000000.0,302000000.0,6654000000.0,29443000000.0,22553.0,67803000000.0,,
72,2.지분법손실(주석7),1812000000.0,1161000000.0,18363000000.0,,,,,,,,,,,
73,3.지분법적용투자주식처분손실(주석7),138000000.0,,,,,,,,,,,,,
74,4.기타영업외비용,39590000000.0,34958000000.0,18697000000.0,39062000000.0,30525000000.0,28317000000.0,32435000000.0,57653000000.0,46433000000.0,71603000000.0,158123.0,90602000000.0,,
75,VI.법인세비용차감전순이익,1742152000000.0,927638000000.0,1099326000000.0,1630902000000.0,1450814000000.0,1062481000000.0,528868000000.0,315037000000.0,721888000000.0,888734000000.0,706775.0,365980000000.0,,
76,VII.법인세비용(주석21),435550000000.0,201015000000.0,334896000000.0,453222000000.0,398808000000.0,283475000000.0,158416000000.0,90736000000.0,140413000000.0,184495000000.0,113900.0,91124000000.0,,
77,VIII.계속사업이익,1306602000000.0,726623000000.0,,,,,,,,,,,,
78,IX.중단사업손익,2384000000.0,,,,,,,,,,,,,
79,X.당기순이익,1308986000000.0,726623000000.0,764430000000.0,1177680000000.0,1052006000000.0,,,,,,,,-1765546000000.0,-51567000000.0
80,XI.소수주주지분순이익,18737000000.0,16415000000.0,-2702000000.0,9762000000.0,2236000000.0,,,,,,,,,
81,XII.연결당기순이익,1290249000000.0,710208000000.0,,,,778494000000.0,370435000000.0,223959000000.0,581431000000.0,492144000000.0,428941.0,78833000000.0,,
82,XIII.주당이익(주석22),,,,,,,,,,,,,,
83,1.기본주당이익,2004.9999999999998,1137.0,1545.0,2549.0,2291.0,,,,,,,,,
84,2.희석주당이익,2004.9999999999998,1134.0,1531.0,2549.0,2291.0,,,,,,,,,
