,Statement of cash flows(Unit: KRW),20200101-20200331,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090101-20091231,20080929-20081231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
19,(1)당기손익-공정가치측정금융자산,-749030000000.0,-916415000000.0,1184913000000.0,3569710000000.0,2620624000000.0,-8446927000000.0,-10240218000000.0,-7444814000000.0,-5791282000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,(2)파생금융상품,224258000000.0,-644342000000.0,-422585000000.0,-282903000000.0,-159679000000.0,151297000000.0,139002000000.0,103657000000.0,111654000000.0,-295795000000.0,-53741000000.0,34223000000.0,103279000000.0,147137000000.0,-1499000000.0,20112000000.0,7172000000.0,124687000000.0,121300000000.0,113500000000.0,97121000000.0,104333000000.0,41994000000.0,31833000000.0,17625000000.0,116660000000.0,136004000000.0,114643000000.0,42312000000.0,193373000000.0,218461000000.0,201376000000.0,137774000000.0,481502000000.0,293822000000.0,232112000000.0,243255000000.0,421458000000.0,243886000000.0,74195000000.0,118105000000.0,,
21,(3)기타포괄손익-공정가치측정대출채권,-52458000000.0,15536000000.0,8789000000.0,8806000000.0,-462000000.0,-40413000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,(4)상각후원가측정대출채권,-13035271000000.0,-21681258000000.0,-7490261000000.0,-5720150000000.0,-2658712000000.0,-31334606000000.0,-28075267000000.0,-14876364000000.0,-6721879000000.0,-22465758000000.0,-16884957000000.0,-10025127000000.0,-2711977000000.0,,-13248060000000.0,-8281253000000.0,-3329367000000.0,,-10186778000000.0,-3388006000000.0,-7107907000000.0,,-5252763000000.0,-2275744000000.0,-2972019000000.0,,-6441499000000.0,-3120958000000.0,2634479000000.0,,-6171128000000.0,-5946858000000.0,-1047970000000.0,,-14211637000000.0,-10459174000000.0,-4538229000000.0,,-5341148000000.0,-4954942000000.0,-2423422000000.0,,
23,(5)당기법인세자산,3720000000.0,-9091000000.0,-13697000000.0,-9306000000.0,769000000.0,-3668000000.0,-9382000000.0,-7924000000.0,-727000000.0,59334000000.0,47865000000.0,24873000000.0,-30882000000.0,-8868000000.0,3197000000.0,3311000000.0,4562000000.0,287788000000.0,292611000000.0,271864000000.0,168159000000.0,40597000000.0,23611000000.0,13759000000.0,14291000000.0,-13940000000.0,,,,,,,,,,,,,,,,,
24,(6)이연법인세자산,988000000.0,803000000.0,276000000.0,174000000.0,-713000000.0,-557000000.0,2982000000.0,2449000000.0,2783000000.0,3186000000.0,30294000000.0,82952000000.0,102556000000.0,-87701000000.0,3999000000.0,4084000000.0,426000000.0,9223000000.0,7210000000.0,7643000000.0,853000000.0,-140000000.0,-2140000000.0,-2527000000.0,2572000000.0,1349000000.0,3850000000.0,3504000000.0,414000000.0,3211000000.0,884000000.0,92000000.0,-366000000.0,,-15787000000.0,-16236000000.0,-15848000000.0,19145000000.0,33358000000.0,124829000000.0,46249000000.0,,
25,(7)기타자산,-4691009000000.0,-3668385000000.0,-9869794000000.0,-11506425000000.0,-7995876000000.0,-2292160000000.0,-6302762000000.0,-6306325000000.0,-5786298000000.0,-3938297000000.0,-7092979000000.0,-6765813000000.0,-5089363000000.0,1393689000000.0,-1595277000000.0,-989926000000.0,-4983996000000.0,-682627000000.0,-2222865000000.0,-5381493000000.0,-2261650000000.0,427501000000.0,-1528527000000.0,-1798314000000.0,1004819000000.0,-5075338000000.0,-8170476000000.0,-6682709000000.0,-2111693000000.0,2201280000000.0,-4302440000000.0,-1128168000000.0,-1642038000000.0,-877081000000.0,-2585935000000.0,-4641730000000.0,-4046104000000.0,2706174000000.0,-3116477000000.0,-5314000000.0,1265863000000.0,,
26,(8)당기손익-공정가치측정금융부채,-1424270000000.0,-77231000000.0,1680433000000.0,1474193000000.0,452579000000.0,3690005000000.0,4054298000000.0,2368488000000.0,932185000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,(9)예수부채,12039676000000.0,28480993000000.0,11107588000000.0,11270604000000.0,5774400000000.0,20679844000000.0,15130815000000.0,9160105000000.0,6098955000000.0,18858210000000.0,13645523000000.0,7267752000000.0,2293080000000.0,12042422000000.0,10160329000000.0,7115206000000.0,2584485000000.0,12602806000000.0,6180622000000.0,752574000000.0,1644478000000.0,10668675000000.0,3898690000000.0,4484941000000.0,1297807000000.0,2584993000000.0,4040521000000.0,-769608000000.0,-2845396000000.0,4495876000000.0,4283171000000.0,4771313000000.0,1793378000000.0,10716619000000.0,7806296000000.0,5431793000000.0,-590036000000.0,11075939000000.0,10346243000000.0,7255250000000.0,4847092000000.0,,
28,(10)당기법인세부채,133662000000.0,-266204000000.0,-273738000000.0,-372386000000.0,8389000000.0,264765000000.0,189909000000.0,53567000000.0,,,,-362312000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
