,Income statement(Unit: KRW),20100101-20101231,20090101-20091231,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20011231,20010101-20011231,20001231,20000101-20001231,20000101-20000120,19990101-19991231,19980101-19981231,19970101-19971231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,퇴직급여(주석27),25955029242.0,15497527655.0,18260071607.0,17264978591.0,15506566779.0,9891364073.0,10075055919.0,11781787222.0,13255810315.0,10340695689.0,10340695689.0,11398338041.0,11398338041.0,21739033730.0,9873993240.0,39210.0,6360302.0
10,복리후생비(주석27),27391213830.0,22891631816.0,23608913690.0,17507558734.0,15599483743.0,12782698903.0,12132769966.0,10828871658.0,10139916121.0,15047593423.0,15047593423.0,17526848602.0,17526848602.0,32574442025.0,13914845232.0,8946855.0,21062944.0
11,여비교통비,6784293123.0,5229575858.0,4082012248.0,3468085973.0,2540528929.0,2038279828.0,1945897308.0,2285377132.0,1644663731.0,2379034819.0,2379034819.0,4526811435.0,4526811435.0,6905846254.0,3123781803.0,2162023.0,5544713.0
12,통신비,2040491593.0,1726840886.0,1588559610.0,1374259924.0,1246445440.0,1167290791.0,1567105104.0,1835566889.0,1946366075.0,2322640974.0,2322640974.0,2982103870.0,2982103870.0,5304744844.0,2970244531.0,2847218.0,4760326.0
13,수도광열비,4719895004.0,3348026336.0,3336764380.0,3225242194.0,3174532637.0,2589294171.0,2908980249.0,3417916688.0,2995637174.0,2103607905.0,2103607905.0,2852643348.0,2852643348.0,4956251253.0,1809975578.0,1627745.0,2115523.0
14,세금과공과(주석27),4422055372.0,4077911081.0,5745075517.0,4325271053.0,3884714058.0,2944203667.0,3134176861.0,3881113965.0,3174648337.0,2864338877.0,2864338877.0,4415543511.0,4415543511.0,7279882388.0,1516019082.0,1865578.0,8462296.0
15,"감가상각비(주석7,27)",6656417078.0,4468216887.0,4847228473.0,4544511019.0,3816778511.0,4316226479.0,6054871158.0,10400644506.0,16607373311.0,25873567644.0,25873567644.0,37348299606.0,37348299606.0,63221867250.0,25755395511.0,24878228.0,21517071.0
16,수선비,1258353018.0,2232556535.0,1258988845.0,612606241.0,1236893246.0,408051077.0,1454938950.0,2531921388.0,3182334113.0,5381025859.0,5381025859.0,2811125480.0,2811125480.0,8192151339.0,1343143725.0,443910.0,1861212.0
17,보험료,2082158457.0,1935083317.0,1574449179.0,1465207005.0,1195572864.0,1165667339.0,912641761.0,937420906.0,1302495838.0,1224989528.0,1224989528.0,1122166181.0,1122166181.0,2347155709.0,1234041755.0,669767.0,1319047.0
18,접대비,2842773108.0,2959947095.0,3260777562.0,2372809733.0,2047083578.0,1517798071.0,993625659.0,1147885374.0,1093314357.0,949881552.0,949881552.0,2621525117.0,2621525117.0,3571406669.0,1969930287.0,1770413.0,5884622.0
19,광고선전비,14352038035.0,13709181991.0,22429207735.0,25972288324.0,24904579950.0,4749634443.0,3713334897.0,2963380780.0,2369023656.0,3838630024.0,3838630024.0,15734293906.0,15734293906.0,19572923930.0,8564999253.0,4987874.0,28716815.0
20,개발비,190471429397.0,68254525612.0,50786808716.0,38816925160.0,54787273496.0,34660920911.0,30367164665.0,29863303425.0,49963009143.0,41874442129.0,41874442129.0,47914758892.0,47914758892.0,89789201021.0,41190368182.0,31860212.0,28741698.0
21,운반비,388191307.0,344603263.0,413184448.0,275929092.0,240612312.0,44966757.0,52285070.0,71468805.0,129560310.0,180778572.0,180778572.0,262488133.0,262488133.0,443266705.0,267601475.0,224752.0,4697541.0
22,지급수수료,15420350668.0,12526212759.0,9615405920.0,8077608777.0,5589651803.0,22026428469.0,,10157211351.0,4541574358.0,15286942071.0,15286942071.0,5758741072.0,5758741072.0,21045683143.0,,4237455.0,27175726.0
23,교육훈련비,8609560961.0,5521748194.0,3551916753.0,1946709666.0,1603022403.0,719374689.0,684370361.0,1466353524.0,702789377.0,2211397393.0,2211397393.0,2375515245.0,2375515245.0,4586912638.0,1768171481.0,2668343.0,6505650.0
24,사무용품비,820782890.0,503600470.0,442424107.0,365973646.0,356079657.0,277382606.0,353167081.0,337323732.0,427917424.0,543976394.0,543976394.0,731527881.0,731527881.0,1275504275.0,833198121.0,,
25,도서인쇄비,2644428249.0,1648637995.0,1213466073.0,1275439124.0,721927637.0,652277869.0,698203852.0,767087345.0,877858773.0,874975485.0,874975485.0,1180773694.0,1180773694.0,2055749179.0,1131750418.0,1139470.0,3197175.0
26,회비,1721812621.0,1528567589.0,1355801452.0,1178882809.0,1068437670.0,1040043269.0,841525845.0,740430339.0,817936576.0,1329329783.0,1329329783.0,1187552799.0,1187552799.0,2516882582.0,1076524003.0,1453929.0,
27,소모품비,955730446.0,864631523.0,720756652.0,371457804.0,332234890.0,231781417.0,239381012.0,219477873.0,260876624.0,260898505.0,260898505.0,447020302.0,447020302.0,707918807.0,673122494.0,648870.0,2321017.0
28,전산비,10213903102.0,9540989612.0,7937108765.0,6891248560.0,5236561617.0,3887825694.0,4384584878.0,5828432708.0,6912613013.0,7247480408.0,7247480408.0,8737809338.0,8737809338.0,15985289746.0,7309599350.0,,
29,체육진흥비,3536429397.0,2916667052.0,2577635081.0,2205757129.0,1610677235.0,1016775163.0,1406044183.0,749114925.0,1955957383.0,1519734232.0,1519734232.0,1502831632.0,1502831632.0,3022565864.0,861744614.0,,
30,차량유지비,5420560342.0,4723921355.0,4152671401.0,3216504629.0,2924917109.0,2430083073.0,2345432707.0,2444203220.0,2371024240.0,2241935758.0,2241935758.0,3216929486.0,3216929486.0,5458865244.0,,2617938.0,4374783.0
