,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,20110930,20110630,20110331,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20040101-20041231,19000101
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
28,ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융부채,"Current financial liabilities at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],부채 [abstract],유동부채,당기손익-공정가치금융부채,339558161.0,649038368.0,489843100.0,524041579.0,10168479194.0,7418409882.0,6591010917.0,7037378728.0,2318894489.0,30360536.0,1230668629.0,1195392507.0,,,,368374482.0,,,,,,,,,,,,,,,,,,,,,,
29,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,653501576236.0,559584776483.0,495050626608.0,458370299961.0,364609339570.0,349846018275.0,546038803601.0,291178533022.0,274769242111.0,211011222442.0,225417094664.0,203248853782.0,208371153600.0,227320592500.0,2830809680.0,476159646999.0,431523491600.0,412759705493.0,572789396000.0,481155670000.0,351153864000.0,208524167000.0,241583303796.0,135495515877.0,73515420000.0,124465410000.0,106287355000.0,118305237500.0,31743060000.0,109378290149.0,22288460000.0,10757230000.0,4166650000.0,,1557892875.0,1565464878.0,1565464878.0,
30,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,,,26420981.0,29635192.0,27392315.0,26991114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455740867.0,453155845.0,,
31,dart_CurrentPortionOfBonds,유동성사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성사채,,,,,,,150000000000.0,150000000000.0,150000000000.0,150000000000.0,,,,,,102971893750.0,102693302500.0,104957251000.0,105083629000.0,4539893000.0,4555287000.0,4554693000.0,,,,,,,,,100000000000.0,,,,,,,
32,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,359958356353.0,313781745056.0,147208681072.0,188612373476.0,330179165212.0,277992093674.0,240305339260.0,202942307440.0,359185862088.0,305730913120.0,270830383958.0,249149764535.0,237682208873.0,239105201541.0,126663334512.0,173225327699.0,88001055032.0,178936057617.0,97023395000.0,107146136000.0,116751755000.0,154446608000.0,122453138774.0,117526281293.0,99917073992.0,46146123539.0,79966685177.0,87131503239.0,97123882507.0,75362994612.0,75832288062.0,109402059317.0,82290447145.0,45846283194.0,39830538648.0,10885261387.0,10885261387.0,
33,ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,5882454316.0,3822401193.0,4166074004.0,4212445921.0,2608958762.0,2462733532.0,6448400697.0,6598674825.0,4476676298.0,5897847971.0,3780056729.0,2192945028.0,3146358676.0,46354541621.0,45711769184.0,52377727257.0,51228226075.0,48705510961.0,1925567000.0,3157096000.0,3361459000.0,3452851000.0,2833121084.0,243596399.0,4612442557.0,9784240361.0,8950960422.0,8333250446.0,8465959282.0,4051280095.0,67480000.0,77400000.0,352000892.0,,,,,
34,ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동리스부채,194921929432.0,168937301210.0,160492598943.0,150273641954.0,128659800756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1760708112853.0,1515273206866.0,1399346898512.0,1275570474653.0,1196706003414.0,1085649147454.0,995443690845.0,959921241132.0,983334751732.0,859335494500.0,789745049274.0,690974416178.0,683260762024.0,619321944579.0,556893173867.0,489749336296.0,451828231964.0,389665599857.0,333779958000.0,284077065000.0,276689176000.0,238125478000.0,194876150372.0,136707944494.0,122809013865.0,120321600025.0,112239483353.0,105326375858.0,91586516541.0,79468732825.0,,,,,,33329489.0,33329489.0,
36,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,2213685558800.0,2022482221466.0,2025574906411.0,1950888573172.0,1825854300310.0,1312378743444.0,1174594272939.0,503469472974.0,477802517194.0,411335030730.0,506677518761.0,489173710859.0,470417063752.0,437110766381.0,458884265147.0,451052807894.0,443250549886.0,432678618822.0,301216417000.0,382962449000.0,506707327000.0,516330572000.0,390064616864.0,378357186434.0,262039922399.0,261668550207.0,253419183876.0,247356231455.0,246105766636.0,53287766778.0,55940199653.0,162760651595.0,115819890125.0,9495961707.0,,,,
37,dart_LongTermTradeAndOtherNonCurrentPayables,매입채무및기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,매입채무및기타채무,39623784850.0,42469680072.0,29768423745.0,24190558485.0,30507620213.0,23370588587.0,10855524834.0,7421800441.0,9065938193.0,11652173744.0,8209206491.0,6799367633.0,568655907319.0,9065271620.0,4130505000.0,4130504999.0,7149385787.0,4158772050.0,474587763000.0,458673349000.0,388056944000.0,471605310000.0,270627493298.0,255279507160.0,230721210792.0,175687753588.0,177090484873.0,164370927726.0,176835387060.0,171071044721.0,,,,,,,,
