,Statement of financial position(Unit: KRW),20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20111231,20101231,20100101,20091231,20081231,20071231,20061231,20051231,20041231,20031231,20021231
,label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
28,당기법인세부채(주석31),100226729698.0,83392133892.0,35530486310.0,50393522444.0,14882572872.0,71149631485.0,34199432585.0,76258364850.0,36807313253.0,142593761909.0,99336954231.0,15394646494.0,26591103162.0,39911858853.0,17560383354.0,34845549457.0,68855822630.0,105851428856.0,90161161166.0,91333378080.0,74639336398.0,34786660089.0,16898569653.0,10442332267.0,14063853609.0,40042245850.0,22646795483.0,24839018869.0,14386229586.0,5317069951.0,7613044446.0,30611569574.0,34818327927.0,,,,,,,,
29,기타유동부채(주석16),211759948159.0,270816546752.0,168961725829.0,191217305480.0,180394793035.0,213565997421.0,173182174951.0,230050070976.0,225959820845.0,264807132786.0,283941547711.0,203943689102.0,188465997191.0,204976795587.0,184553043599.0,182099485848.0,189996991223.0,199862089561.0,212473183912.0,188298519349.0,160379332700.0,182166313099.0,182423686876.0,199396739485.0,205307643494.0,185808100572.0,179675255310.0,178276568717.0,171608373080.0,192679044658.0,148034667491.0,134318877900.0,132432948697.0,,,,,,,,
30,기타충당부채(주석17),1618000.0,1618000.0,1618000.0,1618000.0,1618000.0,1618000.0,1618000.0,1618000.0,1618000.0,1618000.0,,2033000.0,2033000.0,2389000.0,5315000.0,5315000.0,489757762.0,489787762.0,489887762.0,489887762.0,490273762.0,490273762.0,5831000.0,37806729.0,6044000.0,6341000.0,8259000.0,9203000.0,8256000.0,7653000.0,,34442301773.0,,,,,,,,,
31,II.비유동부채,405780091849.0,384447430315.0,414074108321.0,410089760770.0,434319842615.0,89232845728.0,107744789052.0,142617242013.0,147492080877.0,341530254599.0,278614250166.0,288915039808.0,184903963798.0,180939341136.0,252680184167.0,251156291312.0,243961812566.0,92720681394.0,91993303467.0,88259624069.0,84010635698.0,77845047141.0,76645396623.0,78540974806.0,71195419983.0,68913233881.0,71002205833.0,64424681810.0,62994794967.0,60609983141.0,46285265074.0,70589779703.0,21556084304.0,15987023572.0,10988507460.0,7121575808.0,5616034416.0,5740932061.0,4525593618.0,13091639112.0,16395058631.0
32,"파생상품부채(주석22,35)",8548104868.0,8548104868.0,,,,,,,,,,,,,50789825.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"차입금(주석18,34,35,36)",,249364096041.0,,,,,154842105279.0,,,149818736419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,확정급여부채(주석20),18164707667.0,12320467898.0,14226786503.0,8125366941.0,5620200313.0,4101032199.0,10998625924.0,5377250808.0,,3314099517.0,,,,13789828522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,장기종업원급여채무(주석20),8173656234.0,7810072814.0,7850342858.0,7646191677.0,7290772231.0,7120534672.0,7695682551.0,7465342774.0,7195045595.0,7046978026.0,7133331404.0,5339604378.0,5281892139.0,4887252300.0,5139116622.0,5090517951.0,5031218721.0,5057794335.0,5003542331.0,5237639845.0,5067313962.0,4776458227.0,4421667361.0,4319492015.0,4235662063.0,4872660676.0,4860657544.0,4833655722.0,4770563165.0,4549550430.0,5391309531.0,8721401747.0,3774719803.0,,,,,,,,
36,"기타지급채무(주석15,22,33,34,35)",203296864789.0,7978434841.0,7959814755.0,4768602524.0,4677295980.0,4361324473.0,71903397733.0,29766979894.0,379688357025.0,4503242064.0,39183445516.0,34529472256.0,134524145522.0,39464689132.0,24859801056.0,24712568627.0,94106281843.0,31338059470.0,27525519662.0,28610503677.0,124019238589.0,27943219747.0,23676250701.0,25257950885.0,52813669945.0,22558855059.0,33704970160.0,42574156658.0,36621575893.0,25474245764.0,30655502740.0,19884165287.0,32538980153.0,,,,,,,,
37,"비유동리스부채(주석19,34,35,36)",,65714515759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
